%s Support (free),%s Support (free)
Contact Email,Contact Email
"Contact Vubla Support Team or visit <a href=""%s"">%s</a> for additional information","Contact Vubla Support Team or visit <a href=""%s"">%s</a> for additional information"
Contact Name,Contact Name
Customers,Customers
Extensions Information,Extensions Information
Get Support,Get Support
Installed Vubla Extensions,Installed Vubla Extensions
Magento Related Support (paid),Magento Related Support (paid)
Vubla &gt; Extensions &amp; Support,Vubla &gt; Extensions &amp; Support
Vubla &gt; Sales,Vubla &gt; Sales
Vubla &gt; SEO Suite,Vubla &gt; SEO Suite
Vubla &gt; Tweaks,Vubla &gt; Tweaks
Message,Message
Message sent,Message sent
Other Reason,Other Reason
Please select,Please select
Reason,Reason
Request New Extension Development (paid),Request New Extension Development (paid)
Sales,Sales
Send,Send
SEO Suite,SEO Suite
Subject,Subject
Tweaks,Tweaks
